"Date","Time","ECA: IESO-Ontario Demand Historic Forecast","RTO: IESO-Ontario Demand Historic Forecast","TESLA: IESO-Ontario Demand Historic Forecast","TESLA: IESO-Ontario Demand Actual",
"2022-01-01","01:00","14607.00","14276.45","14276.45","13542.75",
"2022-01-01","02:00","14023.70","13764.20","13764.20","13253.67",
"2022-01-01","03:00","13815.20","13519.00","13519.00","12683.29",
"2022-01-01","04:00","13535.90","13175.55","13175.55","12490.84",
"2022-01-01","05:00","13246.40","13005.50","13005.50","12493.48",
"2022-01-01","06:00","13361.30","13152.50","13152.50","12585.93",
"2022-01-01","07:00","13602.40","13433.95","13433.95","12771.76",
"2022-01-01","08:00","13967.10","13706.85","13706.85","12915.02",
"2022-01-01","09:00","14300.00","14008.40","14008.40","13265.13",
"2022-01-01","10:00","14796.30","14421.65","14421.65","13860.61",
"2022-01-01","11:00","15195.80","14791.00","14791.00","14625.74",
"2022-01-01","12:00","15674.30","15210.30","15210.30","15060.44",
"2022-01-01","13:00","15973.60","15460.05","15460.05","15619.72",
"2022-01-01","14:00","15898.40","15490.40","15490.40","15540.19",
"2022-01-01","15:00","16032.40","15733.90","15733.90","15464.94",
"2022-01-01","16:00","16209.80","16133.60","16133.60","15614.58",
"2022-01-01","17:00","16993.70","16838.35","16838.35","16233.83",
"2022-01-01","18:00","17840.90","17581.75","17581.75","16954.95",
"2022-01-01","19:00","17240.30","17061.70","17061.70","16580.82",
"2022-01-01","20:00","16767.80","16726.30","16726.30","16326.71",
"2022-01-01","21:00","16421.60","16479.30","16479.30","16012.53",
"2022-01-01","22:00","16108.70","16128.10","16128.10","15409.11",
"2022-01-01","23:00","15499.20","15480.55","15480.55","14812.72",
"2022-01-01","24:00","14957.10","14986.90","14986.90","14172.59",
"2022-01-02","01:00","14287.70","14009.40","14009.40","13838.69",
"2022-01-02","02:00","13809.20","13643.90","13643.90","13535.59",
"2022-01-02","03:00","13714.40","13429.20","13429.20","13317.58",
"2022-01-02","04:00","13547.80","13262.00","13262.00","13292.49",
"2022-01-02","05:00","13410.40","13289.25","13289.25","13329.52",
"2022-01-02","06:00","13573.20","13518.75","13518.75","13574.09",
"2022-01-02","07:00","13908.70","13963.25","13963.25","13910.61",
"2022-01-02","08:00","14594.60","14585.60","14585.60","14614.50",
"2022-01-02","09:00","15249.40","15252.55","15252.55","15088.77",
"2022-01-02","10:00","15665.40","15774.20","15774.20","15778.64",
"2022-01-02","11:00","16313.00","16381.00","16381.00","16347.66",
"2022-01-02","12:00","16843.60","16872.00","16872.00","16773.54",
"2022-01-02","13:00","17071.40","17101.90","17101.90","16926.78",
"2022-01-02","14:00","16694.00","16878.10","16878.10","17060.95",
"2022-01-02","15:00","16617.10","16761.35","16761.35","16942.86",
"2022-01-02","16:00","16664.10","16824.70","16824.70","17162.94",
"2022-01-02","17:00","17486.10","17613.35","17613.35","17834.40",
"2022-01-02","18:00","18630.00","18784.00","18784.00","18923.03",
"2022-01-02","19:00","18186.00","18462.30","18462.30","18730.76",
"2022-01-02","20:00","17614.30","17988.30","17988.30","18251.99",
"2022-01-02","21:00","17093.10","17578.65","17578.65","17818.62",
"2022-01-02","22:00","16610.20","17082.30","17082.30","17426.99",
"2022-01-02","23:00","15908.50","16300.00","16300.00","16725.02",
"2022-01-02","24:00","15085.70","15470.45","15470.45","15918.27",
"2022-01-03","01:00","14473.50","14915.65","14915.65","15339.92",
"2022-01-03","02:00","14217.10","14647.90","14647.90","15030.31",
"2022-01-03","03:00","13952.10","14376.60","14376.60","14986.90",
"2022-01-03","04:00","14006.40","14418.40","14418.40","14919.96",
"2022-01-03","05:00","14188.00","14621.65","14621.65","15058.10",
"2022-01-03","06:00","14922.70","15361.45","15361.45","15418.70",
"2022-01-03","07:00","16083.70","16560.20","16560.20","16283.36",
"2022-01-03","08:00","17239.50","17657.00","17657.00","17543.39",
"2022-01-03","09:00","17819.60","18147.25","18147.25","18020.46",
"2022-01-03","10:00","18107.10","18262.35","18262.35","18286.37",
"2022-01-03","11:00","18216.50","18161.15","18161.15","18311.06",
"2022-01-03","12:00","17986.10","17971.50","17971.50","18113.33",
"2022-01-03","13:00","17878.90","17801.00","17801.00","17752.53",
"2022-01-03","14:00","17977.50","17795.85","17795.85","17749.28",
"2022-01-03","15:00","18091.00","17826.90","17826.90","17720.53",
"2022-01-03","16:00","18206.70","18018.40","18018.40","18166.68",
"2022-01-03","17:00","18870.00","18802.30","18802.30","19039.88",
"2022-01-03","18:00","19820.10","20012.15","20012.15","20051.29",
"2022-01-03","19:00","19325.70","19590.05","19590.05","19548.12",
"2022-01-03","20:00","18786.20","19047.40","19047.40","18869.94",
"2022-01-03","21:00","18405.10","18622.50","18622.50","18324.73",
"2022-01-03","22:00","17557.50","17735.60","17735.60","17677.14",
"2022-01-03","23:00","16625.90","16762.15","16762.15","16625.63",
"2022-01-03","24:00","16008.60","16037.60","16037.60","15779.92",
"2022-01-04","01:00","15274.00","15475.70","15475.70","15542.42",
"2022-01-04","02:00","14877.00","15050.75","15050.75","14939.08",
"2022-01-04","03:00","14468.10","14695.25","14695.25","14616.92",
"2022-01-04","04:00","14349.60","14554.00","14554.00","14698.76",
"2022-01-04","05:00","14580.90","14793.25","14793.25","14723.23",
"2022-01-04","06:00","15072.70","15324.10","15324.10","15403.47",
"2022-01-04","07:00","16052.10","16312.85","16312.85","16434.88",
"2022-01-04","08:00","17089.50","17316.60","17316.60","17300.92",
"2022-01-04","09:00","17515.30","17634.15","17634.15","17776.67",
"2022-01-04","10:00","17688.50","17717.55","17717.55","17810.07",
"2022-01-04","11:00","17691.40","17615.85","17615.85","17684.60",
"2022-01-04","12:00","17536.30","17440.60","17440.60","17639.99",
"2022-01-04","13:00","17509.70","17410.40","17410.40","17643.33",
"2022-01-04","14:00","17462.30","17271.05","17271.05","17212.99",
"2022-01-04","15:00","17478.40","17174.10","17174.10","17162.72",
"2022-01-04","16:00","17877.60","17726.70","17726.70","17785.77",
"2022-01-04","17:00","18521.00","18414.50","18414.50","18420.13",
"2022-01-04","18:00","19323.00","19354.80","19354.80","19408.90",
"2022-01-04","19:00","19062.70","19107.80","19107.80","18775.38",
"2022-01-04","20:00","18654.80","18676.00","18676.00","18343.55",
"2022-01-04","21:00","18172.10","18220.65","18220.65","17690.67",
"2022-01-04","22:00","17667.30","17680.70","17680.70","16920.61",
"2022-01-04","23:00","16705.30","16749.65","16749.65","16084.48",
"2022-01-04","24:00","15910.80","15938.25","15938.25","15177.26",
"2022-01-05","01:00","15316.60","14900.20","14900.20","14471.43",
"2022-01-05","02:00","14871.00","14429.40","14429.40","14065.01",
"2022-01-05","03:00","14569.40","14162.45","14162.45","13865.02",
"2022-01-05","04:00","14585.90","14139.25","14139.25","13752.27",
"2022-01-05","05:00","14674.60","14184.80","14184.80","13831.47",
"2022-01-05","06:00","15283.90","14817.40","14817.40","14371.17",
"2022-01-05","07:00","16281.50","15804.50","15804.50","15439.38",
"2022-01-05","08:00","17433.70","16889.40","16889.40","16515.60",
"2022-01-05","09:00","17787.40","17238.45","17238.45","16990.28",
"2022-01-05","10:00","18047.90","17529.15","17529.15","17446.29",
"2022-01-05","11:00","18024.40","17433.15","17433.15","17676.00",
"2022-01-05","12:00","17923.60","17394.75","17394.75","17995.47",
"2022-01-05","13:00","17761.20","17318.30","17318.30","18244.98",
"2022-01-05","14:00","17775.40","17342.40","17342.40","18108.83",
"2022-01-05","15:00","17833.30","17452.60","17452.60","17943.45",
"2022-01-05","16:00","18206.70","17844.70","17844.70","18146.26",
"2022-01-05","17:00","18847.90","18470.55","18470.55","18609.65",
"2022-01-05","18:00","19746.10","19393.60","19393.60","19338.73",
"2022-01-05","19:00","19260.30","18915.15","18915.15","18700.58",
"2022-01-05","20:00","18708.00","18358.30","18358.30","18235.82",
"2022-01-05","21:00","18384.10","18142.00","18142.00","17827.66",
"2022-01-05","22:00","17801.90","17511.10","17511.10","17217.03",
"2022-01-05","23:00","16693.80","16531.90","16531.90","16366.05",
"2022-01-05","24:00","15987.80","15803.30","15803.30","15425.27",
"2022-01-06","01:00","15304.30","15176.20","15176.20","14885.17",
"2022-01-06","02:00","14988.60","14775.55","14775.55","14550.96",
"2022-01-06","03:00","14731.00","14558.20","14558.20","14421.87",
"2022-01-06","04:00","14734.60","14565.65","14565.65","14404.23",
"2022-01-06","05:00","14880.90","14745.45","14745.45","14584.86",
"2022-01-06","06:00","15494.80","15411.35","15411.35","15166.38",
"2022-01-06","07:00","16665.40","16594.65","16594.65","16173.94",
"2022-01-06","08:00","18034.90","17947.20","17947.20","17309.35",
"2022-01-06","09:00","18385.40","18333.85","18333.85","18115.10",
"2022-01-06","10:00","18326.90","18333.65","18333.65","18377.42",
"2022-01-06","11:00","18212.40","18160.50","18160.50","18172.77",
"2022-01-06","12:00","18071.50","17971.95","17971.95","18228.13",
"2022-01-06","13:00","17917.60","17960.15","17960.15","18197.63",
"2022-01-06","14:00","17855.00","17918.15","17918.15","18084.12",
"2022-01-06","15:00","17899.90","17951.20","17951.20","18040.95",
"2022-01-06","16:00","18126.00","18239.95","18239.95","18366.78",
"2022-01-06","17:00","18833.90","18963.75","18963.75","19355.90",
"2022-01-06","18:00","19615.90","19753.60","19753.60","20257.12",
"2022-01-06","19:00","19441.40","19662.90","19662.90","19777.54",
"2022-01-06","20:00","18986.80","19243.95","19243.95","19363.44",
"2022-01-06","21:00","18706.20","18966.20","18966.20","18981.63",
"2022-01-06","22:00","18055.20","18291.30","18291.30","18129.15",
"2022-01-06","23:00","17003.00","17264.65","17264.65","17136.04",
"2022-01-06","24:00","16179.80","16395.30","16395.30","16288.58",
"2022-01-07","01:00","15433.60","15781.65","15781.65","15830.55",
"2022-01-07","02:00","15058.30","15404.45","15404.45","15370.39",
"2022-01-07","03:00","14836.60","15227.10","15227.10","15278.00",
"2022-01-07","04:00","14846.90","15201.25","15201.25","14982.87",
"2022-01-07","05:00","14991.40","15326.25","15326.25","15186.01",
"2022-01-07","06:00","15541.90","15898.30","15898.30","15797.12",
"2022-01-07","07:00","16666.30","17058.50","17058.50","16754.01",
"2022-01-07","08:00","17975.90","18306.55","18306.55","17910.68",
"2022-01-07","09:00","18365.30","18739.55","18739.55","18675.68",
"2022-01-07","10:00","18311.50","18692.40","18692.40","18793.37",
"2022-01-07","11:00","18168.80","18405.15","18405.15","18381.06",
"2022-01-07","12:00","17971.50","18205.05","18205.05","18029.42",
"2022-01-07","13:00","17793.60","18099.00","18099.00","17931.78",
"2022-01-07","14:00","17683.00","17951.05","17951.05","17780.39",
"2022-01-07","15:00","17741.90","17956.95","17956.95","17815.67",
"2022-01-07","16:00","17911.20","18257.05","18257.05","18134.35",
"2022-01-07","17:00","18580.40","18842.95","18842.95","19069.92",
"2022-01-07","18:00","19357.00","19806.10","19806.10","20513.05",
"2022-01-07","19:00","19110.70","19692.10","19692.10","20188.95",
"2022-01-07","20:00","18587.30","19219.30","19219.30","19943.53",
"2022-01-07","21:00","18311.20","18936.20","18936.20","19497.72",
"2022-01-07","22:00","17652.30","18271.00","18271.00","18766.86",
"2022-01-07","23:00","16760.30","17362.95","17362.95","17925.97",
"2022-01-07","24:00","15829.80","16578.90","16578.90","17069.68",
"2022-01-08","01:00","15096.70","15837.45","15837.45","16515.57",
"2022-01-08","02:00","14728.00","15413.45","15413.45","16212.45",
"2022-01-08","03:00","14516.10","15229.45","15229.45","15870.58",
"2022-01-08","04:00","14378.20","15144.85","15144.85","15809.13",
"2022-01-08","05:00","14476.80","15213.55","15213.55","15928.75",
"2022-01-08","06:00","14749.90","15474.35","15474.35","15962.26",
"2022-01-08","07:00","15308.20","16004.65","16004.65","16256.73",
"2022-01-08","08:00","16107.70","16655.40","16655.40","16685.52",
"2022-01-08","09:00","16628.90","17158.80","17158.80","16954.43",
"2022-01-08","10:00","16865.30","17358.25","17358.25","17276.01",
"2022-01-08","11:00","17098.80","17633.25","17633.25","17379.42",
"2022-01-08","12:00","17247.70","17635.40","17635.40","17165.71",
"2022-01-08","13:00","17192.80","17426.50","17426.50","17113.21",
"2022-01-08","14:00","17044.60","17367.05","17367.05","17011.11",
"2022-01-08","15:00","17129.40","17242.35","17242.35","16907.12",
"2022-01-08","16:00","17422.40","17686.45","17686.45","17449.81",
"2022-01-08","17:00","18155.80","18459.15","18459.15","18172.47",
"2022-01-08","18:00","19304.10","19605.30","19605.30","19330.87",
"2022-01-08","19:00","19052.40","19294.85","19294.85","18824.38",
"2022-01-08","20:00","18383.60","18565.10","18565.10","18049.33",
"2022-01-08","21:00","17815.80","17999.90","17999.90","17524.99",
"2022-01-08","22:00","17268.60","17384.15","17384.15","16959.68",
"2022-01-08","23:00","16484.80","16594.70","16594.70","16308.67",
"2022-01-08","24:00","15788.70","15835.85","15835.85","15675.17",
"2022-01-09","01:00","15183.50","15107.30","15107.30","15019.82",
"2022-01-09","02:00","14722.00","14627.60","14627.60","14691.43",
"2022-01-09","03:00","14517.10","14409.75","14409.75","14406.37",
"2022-01-09","04:00","14440.40","14226.25","14226.25","14085.17",
"2022-01-09","05:00","14272.00","14129.30","14129.30","14021.88",
"2022-01-09","06:00","14490.20","14221.00","14221.00","14121.51",
"2022-01-09","07:00","14765.20","14449.05","14449.05","14314.72",
"2022-01-09","08:00","15487.40","15038.00","15038.00","14763.52",
"2022-01-09","09:00","16193.50","15618.05","15618.05","15262.59",
"2022-01-09","10:00","16726.60","16194.70","16194.70","15782.96",
"2022-01-09","11:00","17225.30","16520.90","16520.90","16418.34",
"2022-01-09","12:00","17583.00","16782.70","16782.70","16707.27",
"2022-01-09","13:00","17819.10","17017.00","17017.00","17009.91",
"2022-01-09","14:00","17595.40","16904.50","16904.50","17010.81",
"2022-01-09","15:00","17645.80","16941.40","16941.40","16915.20",
"2022-01-09","16:00","17664.80","17212.85","17212.85","17059.39",
"2022-01-09","17:00","18452.50","18021.40","18021.40","17668.12",
"2022-01-09","18:00","19496.10","18982.40","18982.40","18594.51",
"2022-01-09","19:00","18935.60","18528.40","18528.40","18441.09",
"2022-01-09","20:00","18285.20","18001.30","18001.30","18108.58",
"2022-01-09","21:00","17805.80","17544.10","17544.10","17727.02",
"2022-01-09","22:00","17277.40","16977.55","16977.55","17158.52",
"2022-01-09","23:00","16480.90","16159.25","16159.25","16449.63",
"2022-01-09","24:00","15378.30","15368.10","15368.10","15793.05",
"2022-01-10","01:00","14839.70","14868.35","14868.35","15332.20",
"2022-01-10","02:00","14590.10","14564.65","14564.65","15122.46",
"2022-01-10","03:00","14396.00","14463.55","14463.55","14913.06",
"2022-01-10","04:00","14421.20","14453.90","14453.90","14900.62",
"2022-01-10","05:00","14685.20","14757.00","14757.00","15274.14",
"2022-01-10","06:00","15316.10","15453.90","15453.90","15812.73",
"2022-01-10","07:00","16491.40","16648.40","16648.40","16773.72",
"2022-01-10","08:00","17947.80","18108.35","18108.35","18122.43",
"2022-01-10","09:00","18397.20","18559.35","18559.35","18521.60",
"2022-01-10","10:00","18357.00","18452.75","18452.75","18649.19",
"2022-01-10","11:00","18228.80","18161.30","18161.30","18185.10",
"2022-01-10","12:00","18088.90","18096.15","18096.15","18329.26",
"2022-01-10","13:00","17933.90","18137.60","18137.60","18360.72",
"2022-01-10","14:00","17952.70","18113.35","18113.35","18318.88",
"2022-01-10","15:00","18107.30","18242.10","18242.10","18455.08",
"2022-01-10","16:00","18329.50","18657.50","18657.50","18753.17",
"2022-01-10","17:00","19069.80","19555.95","19555.95","19564.92",
"2022-01-10","18:00","20019.30","20548.15","20548.15","20613.97",
"2022-01-10","19:00","19796.80","20392.75","20392.75","20368.61",
"2022-01-10","20:00","19268.70","19969.45","19969.45","20053.10",
"2022-01-10","21:00","18905.70","19634.90","19634.90","19573.59",
"2022-01-10","22:00","18209.90","18974.05","18974.05","18824.60",
"2022-01-10","23:00","17170.50","17961.85","17961.85","18157.63",
"2022-01-10","24:00","16299.80","17024.70","17024.70","17545.37",
"2022-01-11","01:00","15668.20","16595.05","16595.05","16948.04",
"2022-01-11","02:00","15290.20","16259.00","16259.00","16632.14",
"2022-01-11","03:00","15107.80","16138.90","16138.90","16491.11",
"2022-01-11","04:00","15172.60","16137.80","16137.80","16512.59",
"2022-01-11","05:00","15306.90","16275.15","16275.15","16958.47",
"2022-01-11","06:00","15933.00","16857.35","16857.35","17458.22",
