Date,Time,ECA: IESO-Ontario Demand Historic Forecast,RTO: IESO-Ontario Demand Historic Forecast,TESLA: IESO-Ontario Demand Historic Forecast,TESLA: IESO-Ontario Demand Actual
1/01/2022,1:00,14453.1,13572.25,13572.25,13542.75
1/01/2022,2:00,13868.2,13083.25,13083.25,13253.67
1/01/2022,3:00,13721.2,12724.95,12724.95,12683.29
1/01/2022,4:00,13458.9,12462.2,12462.2,12490.84
1/01/2022,5:00,13218.8,12348.1,12348.1,12493.48
1/01/2022,6:00,13321,12497.05,12497.05,12585.93
1/01/2022,7:00,13559.7,12826,12826,12771.76
1/01/2022,8:00,13946.4,13167.3,13167.3,12915.02
1/01/2022,9:00,14415.9,13485.4,13485.4,13265.13
1/01/2022,10:00,14886.9,13966.55,13966.55,13860.61
1/01/2022,11:00,15276,14351.5,14351.5,14625.74
1/01/2022,12:00,15712.7,14823.25,14823.25,15060.44
1/01/2022,13:00,15931.9,15043.8,15043.8,15619.72
1/01/2022,14:00,15639.3,15045.35,15045.35,15540.19
1/01/2022,15:00,15820.2,15242.55,15242.55,15464.94
1/01/2022,16:00,15710.4,15543.15,15543.15,15614.58
1/01/2022,17:00,16587.6,16300.5,16300.5,16233.83
1/01/2022,18:00,17463.6,17010.4,17010.4,16954.95
1/01/2022,19:00,16913.5,16510.45,16510.45,16580.82
1/01/2022,20:00,16496.7,16160.7,16160.7,16326.71
1/01/2022,21:00,16161.9,15982.9,15982.9,16012.53
1/01/2022,22:00,15892.3,15571.05,15571.05,15409.11
1/01/2022,23:00,15272.1,14905.1,14905.1,14812.72
1/01/2022,24:00:00,14769.6,14450.8,14450.8,14172.59
2/01/2022,1:00,14230.5,13786.8,13786.8,13838.69
2/01/2022,2:00,13603.3,13321.1,13321.1,13535.59
2/01/2022,3:00,13460.6,13098.7,13098.7,13317.58
2/01/2022,4:00,13367.1,13006.2,13006.2,13292.49
2/01/2022,5:00,13233.8,13068.4,13068.4,13329.52
2/01/2022,6:00,13418.4,13333.55,13333.55,13574.09
2/01/2022,7:00,13687.8,13696.15,13696.15,13910.61
2/01/2022,8:00,14296.2,14256.1,14256.1,14614.5
2/01/2022,9:00,15056.9,14960.35,14960.35,15088.77
2/01/2022,10:00,15669,15662.7,15662.7,15778.64
2/01/2022,11:00,16127.7,16435.95,16435.95,16347.66
2/01/2022,12:00,16571.8,16835.65,16835.65,16773.54
2/01/2022,13:00,16701.2,16980.85,16980.85,16926.78
2/01/2022,14:00,16449.6,16774.15,16774.15,17060.95
2/01/2022,15:00,16465.3,16718.6,16718.6,16942.86
2/01/2022,16:00,16786.6,17092.1,17092.1,17162.94
2/01/2022,17:00,17862.1,18103.6,18103.6,17834.4
2/01/2022,18:00,18799.3,18996.5,18996.5,18923.03
2/01/2022,19:00,18369.2,18611.7,18611.7,18730.76
2/01/2022,20:00,17921.4,18207.85,18207.85,18251.99
2/01/2022,21:00,17381.6,17803.3,17803.3,17818.62
2/01/2022,22:00,16835.1,17268.75,17268.75,17426.99
2/01/2022,23:00,16094,16363.55,16363.55,16725.02
2/01/2022,24:00:00,15057.5,15505.45,15505.45,15918.27
3/01/2022,1:00,14457.7,15081.05,15081.05,15339.92
3/01/2022,2:00,14180.7,14817.2,14817.2,15030.31
