20240401,16626,20,2024040120
20240402,17217,19,2024040219
20240403,17774,19,2024040319
20240404,17958,20,2024040420
20240405,17003,8,2024040508
20240406,15491,20,2024040620
20240407,15074,20,2024040720
20240408,16310,20,2024040820
20240409,16217,20,2024040920
20240410,15666,20,2024041020
20240411,16625,17,2024041117
20240412,16189,11,2024041211
20240413,15183,20,2024041320
20240414,15197,20,2024041420
20240415,15971,20,2024041520
20240416,16088,20,2024041620
20240417,16635,18,2024041718
20240418,16388,20,2024041820
20240419,16332,8,2024041908
20240420,15579,20,2024042020
20240421,15679,20,2024042120
20240422,16190,7,2024042207
20240423,16188,17,2024042317
20240424,16588,20,2024042420
20240425,16397,20,2024042520
20240426,15334,20,2024042620
20240427,14813,11,2024042711
20240428,15305,17,2024042817
20240429,16412,20,2024042920
20240430,16200,20,2024043020
20250401,17846,20,2025040120
20250402,19492,17,2025040217
20250403,16951,20,2025040320
20250404,16611,20,2025040420
20250405,16775,11,2025040511
20250406,16931,20,2025040620
20250407,17634,20,2025040720
20250408,18478,20,2025040820
20250409,17827,7,2025040907
20250410,18157,20,2025041020
20250411,17622,8,2025041108
20250412,16031,9,2025041209
20250413,16034,20,2025041320
20250414,16376,20,2025041420
20250415,17432,20,2025041520
20250416,17651,20,2025041620
20250417,17008,7,2025041707
20250418,15372,12,2025041812
20250419,14845,11,2025041911
20250420,14842,20,2025042020
20250421,16250,20,2025042120
20250422,16409,20,2025042220
20250423,16385,20,2025042320
20250424,16312,20,2025042420
20250425,16237,20,2025042520
20250426,15742,20,2025042620
20250427,15295,20,2025042720
20250428,15860,20,2025042820
20250429,16481,17,2025042917
20250430,16264,20,2025043020
