20240401,16626,20,2024040120
20240402,17217,19,2024040219
20240403,17774,19,2024040319
20240404,17958,20,2024040420
20240405,17003,8,2024040508
20240406,15491,20,2024040620
20240407,15074,20,2024040720
20240408,16310,20,2024040820
20240409,16217,20,2024040920
20240410,15666,20,2024041020
20240411,16625,17,2024041117
20240412,16189,11,2024041211
20240413,15183,20,2024041320
20240414,15197,20,2024041420
20240415,15971,20,2024041520
20240416,16088,20,2024041620
20240417,16635,18,2024041718
20240418,16388,20,2024041820
20240419,16332,8,2024041908
20240420,15579,20,2024042020
20240421,15679,20,2024042120
20240422,16190,7,2024042207
20240423,16188,17,2024042317
20240424,16588,20,2024042420
20240425,16397,20,2024042520
20240426,15334,20,2024042620
20240427,14813,11,2024042711
20240428,15305,17,2024042817
20240429,16412,20,2024042920
20240430,16200,20,2024043020
20240501,15680,20,2024050120
20240502,15551,20,2024050220
20240503,15724,20,2024050320
20240504,14721,18,2024050418
20240505,15185,20,2024050520
20240506,15838,20,2024050620
20240507,15695,20,2024050720
20240508,15921,20,2024050820
20240509,15724,20,2024050920
20240510,15394,21,2024051021
20240511,14539,17,2024051117
20240512,14615,21,2024051221
20240513,15980,20,2024051320
20240514,16278,17,2024051417
20240515,16339,20,2024051520
20240516,16595,19,2024051619
20240517,16340,20,2024051720
20240518,15593,19,2024051819
20240519,16439,18,2024051918
20240520,17909,17,2024052017
20240521,20229,17,2024052117
20240522,20436,19,2024052219
20240523,18582,19,2024052319
20240524,18224,17,2024052417
20240525,15777,19,2024052519
20240526,15720,18,2024052618
20240527,17164,17,2024052717
20240528,16484,18,2024052818
20240529,16051,19,2024052919
20240530,16128,19,2024053019
20240531,16782,19,2024053119
20240601,16202,17,2024060117
20240602,16088,19,2024060219
20240603,18655,19,2024060319
20240604,20694,18,2024060418
20240605,20396,17,2024060517
20240606,18764,18,2024060618
20240607,16151,15,2024060715
20240608,15278,17,2024060817
20240609,14891,18,2024060918
20240610,15942,21,2024061021
20240611,16211,17,2024061117
